OBJECTID,ישוב,סוג רשות מקומית,CR_PNIM,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב,Shape_Length,Shape_Area,קוד ישוב,YEARMONTH,תאונות לקילומטר רבוע
37,בסמת טבעון,מועצה מקומית,0944,צפון,60,1,2,77,6,16,59,5,80,95,4,3,2,65,95,16616.54699,3929651.86,944,202007,15.26852814
38,בענה,מועצה מקומית,0483,צפון,185,0,6,353,28,94,250,14,359,319,6,7,3,249,319,9921.238984,3458480.675,483,202007,53.49169689
39,ברנר,מועצה אזורית,5528,מרכז,278,6,8,395,11,49,311,44,409,537,38,17,7,406,537,48450.70321,36918535.64,5528,202007,7.530092815
40,בת ים,עירייה,6200,תל אביב,3249,11,130,3744,652,513,2543,688,3885,5362,732,104,267,3023,5362,15594.55467,9410690.993,6200,202007,345.2456363
41,ג'דיידה - מכר,מועצה מקומית,1292,צפון,982,6,14,2071,60,454,1569,63,2091,1855,42,47,33,1457,1855,17953.25176,9092770.383,1292,202007,107.9978883
42,ג'וליס,מועצה מקומית,0485,צפון,78,0,4,125,9,41,83,3,129,124,4,2,6,96,124,11448.09072,3997983.241,485,202007,19.50983666
43,ג'לג'וליה,מועצה מקומית,0627,מרכז,63,0,6,109,2,15,92,8,115,128,6,7,2,99,128,11982.74247,1893256.339,627,202007,33.27600109
44,ג'סר אל-זרקא,מועצה מקומית,0541,חיפה,140,3,4,171,66,64,101,9,178,211,2,10,25,119,211,7304.568671,2022854.569,541,202007,69.20912761
45,ג'ת,מועצה מקומית,0628,חיפה,331,3,18,599,22,165,432,17,620,589,9,28,11,440,589,16781.49044,7462887.612,628,202007,44.35280513
46,גבעת שמואל,עירייה,0681,מרכז,473,3,8,554,68,67,433,50,565,845,98,23,18,582,845,10000.51922,2575042.786,681,202007,183.6862683
47,גבעתיים,עירייה,6300,תל אביב,1045,7,49,1119,174,102,857,187,1175,1771,393,33,103,948,1771,9869.672848,3242375.637,6300,202007,322.294551
48,גדרה,מועצה מקומית,2550,מרכז,614,4,11,824,70,148,607,64,839,1212,46,53,28,933,1212,19965.94855,11433063.92,2550,202007,53.7038894
49,גדרות,מועצה אזורית,5532,מרכז,88,3,4,137,5,22,110,10,144,167,5,9,1,126,167,22427.02749,13719325.37,5532,202007,6.414309568
50,גולן,מועצה אזורית,5571,צפון,569,15,58,1034,11,223,787,82,1107,855,36,28,7,570,855,256946.6767,1087420618,5571,202007,0.523256586
51,גוש חלב (ג'יש),מועצה מקומית,0487,צפון,47,1,8,83,0,16,69,7,92,78,2,4,2,53,78,17705.18262,7061135.217,487,202007,6.656153516
52,גזר,מועצה אזורית,5530,מרכז,1107,12,65,1775,41,264,1411,158,1852,2296,94,115,25,1735,2296,81907.2697,114018938.7,5530,202007,9.708913387
53,גן יבנה,מועצה מקומית,0166,מרכז,525,5,16,709,39,130,540,45,730,1009,49,42,27,770,1009,21045.71635,11452682.66,166,202007,45.84078819
54,גן רוה,מועצה אזורית,5527,מרכז,530,9,18,804,17,97,664,65,831,1057,57,47,8,831,1057,46296.43779,43391217.94,5527,202007,12.21445318
55,גני תקווה,מועצה מקומית,0229,מרכז,137,0,7,149,31,28,92,34,156,219,25,7,10,142,219,6780.507909,2110411.384,229,202007,64.91625331
56,דאלית אל כרמל,מועצה מקומית,0494,חיפה,322,1,15,501,40,133,359,24,517,563,18,23,13,429,563,21654.60632,9439686.539,494,202007,34.11130218
57,דבוריה,מועצה מקומית,0489,צפון,219,2,12,354,15,92,263,11,368,378,1,11,5,288,378,12282.44069,5515230.618,489,202007,39.70822168
58,דימונה,עירייה,2200,דרום,513,9,20,713,109,125,550,56,742,865,27,29,25,539,865,115118.638,220455604.6,2200,202007,2.32699913
59,דיר אל אסד,מועצה מקומית,0490,צפון,374,1,7,773,38,168,582,26,781,649,7,12,6,507,649,15635.26629,5137929.011,490,202007,72.79197497
60,דיר חנא,מועצה מקומית,0492,צפון,413,2,14,927,30,220,692,28,943,720,2,11,4,505,720,16284.95287,8917491.038,492,202007,46.3134752
61,דרום השרון,מועצה אזורית,5520,מרכז,2445,24,112,3564,87,460,2945,235,3700,4828,285,260,49,3422,4828,170411.7065,96308864.56,5520,202007,25.38707118
62,הגלבוע,מועצה אזורית,5508,צפון,699,15,62,1402,22,269,1102,99,1479,1352,42,64,8,983,1352,103036.8186,251924195.5,5508,202007,2.774644168
63,הגליל העליון,מועצה אזורית,5501,צפון,616,3,40,1113,13,175,915,58,1156,1074,46,48,11,789,1074,340004.4269,296088644,5501,202007,2.08045804
64,הגליל התחתון,מועצה אזורית,5503,צפון,580,7,46,1105,20,194,873,82,1158,1091,26,62,4,804,1091,153531.1391,192799282,5503,202007,3.008309959
65,הוד השרון,עירייה,9700,מרכז,1006,4,25,1229,154,174,908,146,1258,1866,195,39,63,1319,1866,35822.56541,19268716,9700,202007,52.20897956
66,הערבה התיכונה,מועצה אזורית,5554,דרום,83,7,16,176,2,40,123,29,199,135,8,13,0,81,135,283525.8408,1538141869,5554,202007,0.053961212
67,הרצליה,עירייה,6400,תל אביב,2616,9,64,3107,322,334,2367,356,3180,4771,531,124,148,3276,4771,31517.96895,24069857.82,6400,202007,108.6836499
68,זבולון,מועצה אזורית,5512,חיפה,1259,9,40,2266,18,299,1858,147,2315,2575,43,152,4,2015,2575,83880.64492,61453268.23,5512,202007,20.48711218
69,זכרון יעקב,מועצה מקומית,9300,חיפה,385,2,17,535,48,90,400,50,554,677,40,14,12,497,677,48045.77908,31526277.98,9300,202007,12.21203468
70,זמר,מועצה מקומית,1290,מרכז,146,0,2,259,15,57,191,13,261,227,1,9,0,165,227,13516.48252,8221421.602,1290,202007,17.75848595
71,זרזיר,מועצה מקומית,0975,צפון,193,1,7,337,13,69,269,6,345,381,7,13,2,297,381,13357.18782,4041475.478,975,202007,47.75483633
72,חבל אילות,מועצה אזורית,5553,דרום,180,12,19,313,2,56,249,29,344,282,27,17,2,194,282,322179.3508,2631158727,5553,202007,0.068410924
73,חבל יבנה,מועצה אזורית,5529,מרכז,561,4,20,810,13,46,704,75,834,1159,33,129,2,829,1159,60423.61652,36545081.95,5529,202007,15.35090278
74,חבל מודיעין,מועצה אזורית,5525,מרכז,2251,27,86,3269,52,338,2740,236,3382,4596,255,246,23,3350,4596,102625.2395,128676175.7,5525,202007,17.4935258
