OBJECTID,ישוב,סוג רשות מקומית,CR_PNIM,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב,Shape_Length,Shape_Area,קוד ישוב,YEARMONTH,תאונות לקילומטר רבוע
158,ללא שיפוט - אזור מחלף גילעם,ללא שיפוט,9935,חיפה,9,0,2,13,0,1,10,4,15,15,0,0,0,13,15,3119.014433,352925.6082,9935,202007,25.50112486
159,ללא שיפוט - אזור מיתר,ללא שיפוט,9972,דרום,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,15049.02896,10404613.09,9972,202007,0.096111214
160,ללא שיפוט - אזור ממערב לג'דיידה-מכר,ללא שיפוט,9916,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531.256473,1573329.388,9916,202007,0
161,ללא שיפוט - אזור מעבר אייל,ללא שיפוט,9959,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.926497,3873.487162,9959,202007,0
162,ללא שיפוט - אזור מעיליא,ללא שיפוט,9901,צפון,19,0,3,32,1,8,25,1,35,27,2,0,0,19,27,25596.58222,11216097.03,9901,202007,1.693993905
163,ללא שיפוט - אזור מערב כרמיאל,ללא שיפוט,9919,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.3763369,25807.32302,9919,202007,0
164,ללא שיפוט - אזור מערבית לבאקה אל גרבייה,ללא שיפוט,9951,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433.095519,115426.892,9951,202007,0
165,ללא שיפוט - אזור מערבית לברטעה,ללא שיפוט,9947,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5054.344609,667704.7585,9947,202007,0
166,ללא שיפוט - אזור מערבית לכפר יאסיף,ללא שיפוט,9911,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11971.91137,3804508.092,9911,202007,0
167,ללא שיפוט - אזור מצפה אילות,ללא שיפוט,9933,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813.85618,350695.7807,9933,202007,0
168,ללא שיפוט - אזור מצפון לבסמת טבעון,ללא שיפוט,9938,חיפה,6,0,0,10,0,1,8,1,10,10,0,0,1,6,10,1749.566251,48044.93755,9938,202007,124.8830846
169,ללא שיפוט - אזור מצפון לירכא,ללא שיפוט,9909,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6855.276204,1318459.539,9909,202007,0
170,ללא שיפוט - אזור מצפון למעלות,ללא שיפוט,9902,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11135.55171,3682980.271,9902,202007,0
171,ללא שיפוט - אזור מצפון לקציר,ללא שיפוט,9946,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191.284366,231886.4769,9946,202007,0
172,ללא שיפוט - אזור מצפון לשיבלי אום אל רנם,ללא שיפוט,9929,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.9528889,52949.78886,9929,202007,0
173,ללא שיפוט - אזור מקווה ישראל - פארק שרון,ללא שיפוט,9970,תל אביב,650,1,22,873,7,84,732,66,896,1341,141,45,11,943,1341,17651.80532,7866999.826,9970,202007,82.62361947
174,ללא שיפוט - אזור משמר הירדן,ללא שיפוט,9906,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3577.270087,501776.5321,9906,202007,0
175,ללא שיפוט - אזור נחל ארבל,ללא שיפוט,9925,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.6289381,2391.523341,9925,202007,0
176,ללא שיפוט - אזור נחל בענא,ללא שיפוט,9941,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.980386,20020.77274,9941,202007,0
177,ללא שיפוט - אזור נחל יצהר,ללא שיפוט,9912,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9133.683462,2188734.415,9912,202007,0
178,"ללא שיפוט - אזור נתב""ג",ללא שיפוט,9964,מרכז,328,1,5,423,38,33,347,37,429,602,18,17,4,392,602,24793.75252,16079989.22,9964,202007,20.39802363
179,ללא שיפוט - אזור סאלם,ללא שיפוט,9956,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18928.87053,2218758.513,9956,202007,0
180,ללא שיפוט - אזור עמק איילון,ללא שיפוט,9967,מרכז,8,6,1,31,0,8,27,1,38,19,0,1,0,16,19,19944.96691,7374873.332,9967,202007,1.084764394
181,ללא שיפוט - אזור ערד,ללא שיפוט,9974,דרום,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957.313558,5551272.509,9974,202007,0
182,ללא שיפוט - אזור צומת ג'וליס,ללא שיפוט,9913,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018.821702,336802.1398,9913,202007,0
183,ללא שיפוט - אזור צומת חנניה,ללא שיפוט,9914,צפון,92,3,16,214,0,50,160,21,233,162,3,7,0,128,162,10516.1327,3352927.273,9914,202007,27.43871027
184,ללא שיפוט - אזור צומת מצר,ללא שיפוט,9950,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3823.85591,434844.9355,9950,202007,0
185,ללא שיפוט - אזור צפון כרמיאל,ללא שיפוט,9918,צפון,41,0,0,99,1,24,71,4,99,85,1,3,0,72,85,777.8473215,29527.86084,9918,202007,1388.519142
186,ללא שיפוט - אזור רביד,ללא שיפוט,9922,צפון,17,0,2,42,0,13,31,0,44,29,0,0,0,25,29,7501.941743,1283019.317,9922,202007,13.24999536
187,ללא שיפוט - אזור רומת הייב,ללא שיפוט,9927,צפון,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162.143921,375393.2228,9927,202007,0
188,ללא שיפוט - אזור רמת הנדיב,ללא שיפוט,9939,חיפה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10727.80233,4679613.196,9939,202007,0
189,ללא שיפוט - אזור שמורת שער העמקים,ללא שיפוט,9937,חיפה,2,0,0,3,0,0,3,0,3,4,0,0,0,3,4,11088.94737,3088440.893,9937,202007,0.647575935
190,ללא שיפוט - אזור תל השומר,ללא שיפוט,9969,תל אביב,4,0,0,7,0,0,6,1,7,10,0,0,0,9,10,6742.513212,1776947.038,9969,202007,2.251051896
191,"ללא שיפוט - אזור תע""ש",ללא שיפוט,9960,מרכז,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.440221,224880.8893,9960,202007,0
192,ללא שיפוט - נחל יתלה,ללא שיפוט,9975,ירושלים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332.103042,223195.0203,9975,202007,0
193,לקיה,מועצה מקומית,1060,דרום,46,2,4,67,12,21,49,2,73,75,3,2,1,49,75,12826.19445,6862863.028,1060,202007,6.702741963
194,מבואות החרמון,מועצה אזורית,5555,צפון,234,1,17,435,3,77,341,30,453,392,13,14,1,281,392,233936.3639,134816361.9,5555,202007,1.735694368
195,מבשרת ציון,מועצה מקומית,1015,ירושלים,685,0,16,943,66,100,724,78,959,1391,58,44,7,1063,1391,13585.56475,6280337.803,1015,202007,109.0705662
196,מג'ד אל כרום,מועצה מקומית,0516,צפון,633,2,21,1337,55,287,1019,40,1360,1168,17,24,30,882,1168,27813.38929,9251511.786,516,202007,68.42124991
197,מג'דל שמס,מועצה מקומית,4201,צפון,182,4,7,314,13,81,227,14,325,291,3,3,2,197,291,23191.6901,15382178.89,4201,202007,11.83187384
198,מגאר,מועצה מקומית,0481,צפון,606,2,12,1183,49,271,868,55,1197,1017,11,28,3,773,1017,34999.20877,20704171.49,481,202007,29.2694639
199,מגדל,מועצה מקומית,0065,צפון,136,0,11,248,4,57,189,10,259,233,10,6,0,168,233,23335.10418,11627763.82,65,202007,11.69614399
200,מגדל העמק,עירייה,0874,צפון,580,1,16,826,91,133,646,60,843,1013,35,24,11,743,1013,17054.33591,8714832.467,874,202007,66.55320136
201,מגדל תפן,מועצה מקומית תעשייתית,1722,צפון,43,0,0,76,0,9,62,5,76,78,2,3,0,63,78,7585.541736,2691099.508,1722,202007,15.97859904
202,מגידו,מועצה אזורית,5513,צפון,1018,10,47,1857,26,310,1490,102,1914,1985,75,116,6,1453,1985,117212.5496,173264104.1,5513,202007,5.875423564
203,מודיעין - מכבים - רעות,עירייה,1200,מרכז,1442,2,18,1888,179,350,1371,130,1908,2606,184,70,70,1937,2606,32627.8611,48327528.31,1200,202007,29.83806643
204,מזכרת בתיה,מועצה מקומית,0028,מרכז,197,0,7,256,22,59,189,13,263,369,34,8,15,280,369,14491.13661,7424552.101,28,202007,26.53358712
205,מזרעה,מועצה מקומית,0517,צפון,137,1,3,226,13,35,167,27,230,265,6,7,6,215,265,5131.097118,983618.571,517,202007,139.2816322
206,מטה אשר,מועצה אזורית,5504,צפון,1924,26,90,3510,38,595,2792,220,3626,3698,109,125,30,2936,3698,224060.6653,215868284.8,5504,202007,8.912842393
207,מטה יהודה,מועצה אזורית,5526,ירושלים,1833,25,128,2866,68,481,2293,165,3019,3481,231,172,34,2473,3481,214590.7305,480864514,5526,202007,3.811884526
208,מטולה,מועצה מקומית,0043,צפון,15,0,1,17,2,2,13,2,18,24,1,1,0,17,24,16928.4263,9391855.965,43,202007,1.597128412
209,מיתר,מועצה מקומית,1268,דרום,101,0,6,160,2,20,131,13,166,187,6,7,1,127,187,56365.9494,38817098.03,1268,202007,2.601946182
210,מנשה,מועצה אזורית,5514,חיפה,171,3,5,307,4,68,222,18,315,327,7,17,4,246,327,77305.90015,33741867.16,5514,202007,5.067887891
211,מנשה,מועצה אזורית,5514,חיפה,1033,9,62,1912,18,355,1536,78,1983,1920,57,98,7,1410,1920,146502.7346,77892029.8,5514,202007,13.26194737
212,מסעדה,מועצה מקומית,4203,צפון,68,3,5,109,10,33,79,5,117,107,1,3,4,62,107,21006.70567,12011380.99,4203,202007,5.661297401
213,מעיליא,מועצה מקומית,0518,צפון,83,0,2,133,8,24,102,9,135,129,2,3,0,111,129,7393.321681,1628687.487,518,202007,50.96128057
214,מעלה יוסף,מועצה אזורית,5552,צפון,473,4,25,874,15,172,686,41,903,731,40,17,9,565,731,153680.4618,93471413.87,5552,202007,5.060370657
215,מעלה עירון,מועצה מקומית,1327,חיפה,129,1,4,258,17,74,181,6,263,230,7,6,0,170,230,22202.0648,6033498.282,1327,202007,21.38063093
216,מעלות - תרשיחא,עירייה,1063,צפון,415,1,12,632,82,114,449,70,645,694,13,17,7,544,694,28527.38041,9260395.024,1063,202007,44.81450294
217,מצפה רמון,מועצה מקומית,0099,דרום,83,1,7,119,11,25,86,13,127,112,17,6,1,68,112,63485.47922,75843367.08,99,202007,1.094360696
218,מרום הגליל,מועצה אזורית,5502,צפון,621,10,50,1270,20,274,994,53,1330,1070,29,39,5,794,1070,178643.4301,178025971.9,5502,202007,3.488255074
219,מרחבים,מועצה אזורית,5542,דרום,199,8,17,353,11,63,286,28,378,367,3,32,2,251,367,257449.3021,496080759.1,5542,202007,0.401144363
220,משגב,מועצה אזורית,5556,צפון,1454,10,46,3256,31,644,2528,127,3312,2655,39,60,10,1927,2655,233074.1531,162387381.2,5556,202007,8.953897708
221,משהד,מועצה מקומית,0520,צפון,163,1,10,303,19,93,200,13,314,304,2,10,2,232,304,29178.89009,7204830.052,520,202007,22.62371199
222,נאות חובב,מועצה מקומית תעשייתית,1770,דרום,6,0,0,9,0,1,7,1,9,11,1,0,0,6,11,56310.787,68661258.82,1770,202007,0.087385523
223,נהריה,עירייה,9100,צפון,1806,6,61,2463,278,454,1786,262,2530,3367,181,81,229,2363,3367,27245.82701,13777728.44,9100,202007,131.0811145
224,נווה מדבר,מועצה אזורית,5568,דרום,21,6,5,24,4,13,21,1,35,34,1,2,1,18,34,76940.87786,32721008.54,5568,202007,0.641789509
225,נוף הגליל,עירייה,1061,צפון,1815,2,37,2754,192,499,2005,271,2793,3208,60,65,11,2427,3208,71700.77817,32872103.29,1061,202007,55.21399055
226,נחל שורק,מועצה אזורית,5531,מרכז,328,0,20,503,13,64,415,36,523,644,12,57,8,452,644,32754.64888,28323426.51,5531,202007,11.58051975
227,נחף,מועצה מקומית,0522,צפון,399,1,11,827,33,169,633,30,839,754,12,11,3,604,754,12934.11177,6067119.118,522,202007,65.76432607
228,נס ציונה,עירייה,7200,מרכז,1015,7,23,1343,133,176,998,177,1373,1893,139,41,48,1435,1893,23805.09114,15675229.15,7200,202007,64.75184447
229,נצרת,עירייה,7300,צפון,2566,9,32,4087,306,900,2983,218,4128,4670,110,137,20,3553,4670,25713.39047,14172081.53,7300,202007,181.060206
230,נשר,עירייה,2500,חיפה,740,2,23,1069,58,139,861,88,1094,1362,59,35,6,1071,1362,23374.11734,12944542.52,2500,202007,57.16694884
231,נתיבות,עירייה,0246,דרום,663,0,22,857,135,212,576,77,879,1120,21,27,54,732,1120,26181.965,15273011.23,246,202007,43.4099072
232,נתניה,עירייה,7400,מרכז,5285,21,159,6702,1026,955,4922,850,6882,9623,704,232,387,6625,9623,34477.34496,34748650.43,7400,202007,152.0922377
233,סאג'ור,מועצה מקומית,0525,צפון,42,0,1,63,3,5,53,5,64,67,0,0,0,50,67,7805.790314,3568399.171,525,202007,11.76998368
234,סביון,מועצה מקומית,0587,מרכז,119,1,5,145,17,24,105,14,151,208,29,5,6,141,208,9596.084179,3719913.128,587,202007,31.98999436
235,סח'נין,עירייה,7500,צפון,1693,1,22,3638,181,958,2628,60,3661,3162,25,50,11,2256,3162,23255.92134,11528870.69,7500,202007,146.8487283
236,עומר,מועצה מקומית,0666,דרום,200,3,14,300,7,54,237,21,317,389,6,20,2,285,389,21122.27483,18220413.09,666,202007,10.97669954
237,עוספייא,מועצה מקומית,0534,חיפה,342,0,25,570,30,110,443,37,595,622,18,15,5,502,622,22039.30767,7180610.629,534,202007,47.62826139
238,עילבון,מועצה מקומית,0530,צפון,189,2,6,391,5,74,308,17,399,322,3,6,2,245,322,17705.58545,4901756.247,530,202007,38.55760884
239,עילוט,מועצה מקומית,0511,צפון,148,0,7,229,24,54,174,7,236,243,4,14,2,181,243,8677.295713,3114336.401,511,202007,47.52216233
240,עין מאהל,מועצה מקומית,0532,צפון,89,0,7,123,42,40,88,2,130,134,0,5,1,98,134,13517.72585,5211410.9,532,202007,17.07790879
241,עין קיניה,מועצה מקומית,4502,צפון,10,0,1,23,0,10,14,0,24,13,0,0,1,11,13,9434.013207,5413019.88,4502,202007,1.847397612
242,עכו,עירייה,7600,צפון,2297,6,56,3505,313,625,2670,248,3567,4336,147,129,206,3148,4336,23027.08321,17494777.01,7600,202007,131.2963291
243,עמק הירדן,מועצה אזורית,5506,צפון,442,4,26,838,23,178,621,48,868,808,25,36,5,600,808,230182.3673,185700179.7,5506,202007,2.380180788
244,עמק המעיינות,מועצה אזורית,5507,צפון,267,2,22,484,8,116,351,33,508,443,20,25,9,315,443,156529.4565,249250320,5507,202007,1.071212266
245,עמק חפר,מועצה אזורית,5516,מרכז,1812,21,64,2711,48,316,2212,249,2796,3648,150,140,29,2789,3648,68784.06609,129976702.7,5516,202007,13.9409599
246,עמק יזרעאל,מועצה אזורית,5509,צפון,2081,31,154,3775,45,637,3093,218,3960,4149,70,197,11,3233,4149,291292.8353,332318720.6,5509,202007,6.2620607
247,עפולה,עירייה,7700,צפון,2288,6,42,3483,255,545,2684,278,3531,4214,96,119,61,3166,4214,44662.65946,29170184.67,7700,202007,78.43625351
248,עראבה,עירייה,0531,צפון,860,1,26,1807,97,536,1239,53,1834,1560,18,28,4,1055,1560,21066.72668,8398776.912,531,202007,102.3958618
249,ערד,עירייה,2560,דרום,303,5,18,479,60,95,343,50,502,479,20,13,10,280,479,80488.12628,126130977.8,2560,202007,2.402264735
250,ערערה,מועצה מקומית,0637,חיפה,235,0,11,305,41,93,210,8,316,394,18,10,18,262,394,21323.021,9177143.426,637,202007,25.60709679
251,ערערה בנגב,מועצה מקומית,1192,דרום,88,3,18,118,37,56,80,3,139,129,1,3,0,80,129,16503.64022,14026279.35,1192,202007,6.273937499
252,פוריידיס,מועצה מקומית,0537,חיפה,220,4,13,349,52,77,266,15,366,385,17,17,10,276,385,11786.65748,4057189.995,537,202007,54.2247221
253,פסוטה,מועצה מקומית,0535,צפון,55,0,1,93,5,18,66,8,94,76,1,3,0,59,76,15695.71952,11051863.7,535,202007,4.976536218
254,פקיעין (בוקייעה),מועצה מקומית,0536,צפון,73,0,6,122,8,25,98,4,128,118,2,4,0,95,118,19253.45886,5568211.376,536,202007,13.11013449
255,פרדס חנה - כרכור,מועצה מקומית,7800,חיפה,1004,5,36,1384,129,229,1040,130,1425,1852,84,48,59,1374,1852,34230.48573,22843266.78,7800,202007,43.95168212
256,פרדסיה,מועצה מקומית,0171,מרכז,87,0,0,124,6,20,86,17,124,173,9,5,2,126,173,5588.295045,1474558.722,171,202007,59.00070216
257,פתח תקווה,עירייה,7900,מרכז,7096,19,205,8506,1131,1060,6375,1006,8730,12896,1467,353,508,8620,12896,44767.32852,35597027.17,7900,202007,199.3424891
258,צפת,עירייה,8000,צפון,822,4,38,1104,141,231,755,100,1146,1326,60,26,23,861,1326,34405.94208,29938776.48,8000,202007,27.45603183
259,קדימה - צורן,מועצה מקומית,0195,מרכז,320,1,9,412,33,72,301,45,422,612,50,15,18,439,612,25021.73812,10487743.2,195,202007,30.51180736
260,קלנסווה,עירייה,0638,מרכז,561,2,16,795,90,223,542,29,813,961,15,38,38,611,961,14484.95151,8339098.78,638,202007,67.27345662
261,קצרין,מועצה מקומית,4100,צפון,88,0,3,129,14,19,101,9,132,149,6,1,3,105,149,13718.08231,10889033.88,4100,202007,8.081525046
262,קרית אונו,עירייה,2620,תל אביב,705,3,19,798,103,98,571,122,820,1208,145,25,25,822,1208,13131.37427,4555088.761,2620,202007,154.7719566
263,קרית אתא,עירייה,6800,חיפה,1733,4,52,2508,192,386,1901,265,2564,3209,121,109,55,2372,3209,36366.48557,17338861.24,6800,202007,99.94889375
264,קרית ביאליק,עירייה,9500,חיפה,868,1,29,1215,139,172,901,157,1245,1602,51,45,44,1244,1602,22150.46602,8592285.838,9500,202007,101.0208478
265,קרית גת,עירייה,2630,דרום,1340,4,37,1671,251,223,1255,143,1712,2318,45,82,56,1652,2318,25977.33556,15836790.93,2630,202007,84.61310161
266,קרית טבעון,מועצה מקומית,2300,חיפה,286,1,12,362,35,40,269,62,375,508,18,16,2,395,508,27386.57509,8245243.759,2300,202007,34.68666402
267,קרית ים,עירייה,9600,חיפה,778,1,39,1126,124,163,815,179,1166,1398,35,22,67,1021,1398,17267.07152,11337512.45,9600,202007,68.62175486
268,קרית יערים,מועצה מקומית,1137,ירושלים,18,0,0,24,3,7,13,1,24,26,0,0,2,13,26,4864.778623,498389.6053,1137,202007,36.11632307
269,קרית מוצקין,עירייה,8200,חיפה,1018,6,44,1373,177,186,1010,217,1423,1852,50,23,72,1390,1852,11637.12902,3835244.81,8200,202007,265.4328603
270,קרית מלאכי,עירייה,1034,דרום,401,1,13,502,94,92,359,48,516,700,17,26,15,502,700,13723.31319,4578693.944,1034,202007,87.57955979
271,קרית עקרון,מועצה מקומית,0469,מרכז,381,2,12,577,52,107,411,66,591,727,43,20,17,552,727,7661.502644,2331586.764,469,202007,163.4080301
272,קרית שמונה,עירייה,2800,צפון,461,1,8,709,63,146,516,49,718,850,38,27,21,632,850,21888.33574,14382708.2,2800,202007,32.052378
273,ראמה,מועצה מקומית,0543,צפון,434,1,12,830,22,146,649,43,843,814,7,36,0,648,814,16512.76997,6491599.003,543,202007,66.85563908
274,ראש העין,עירייה,2640,מרכז,1069,4,22,1313,141,191,1014,89,1339,1968,158,65,57,1372,1968,25658.61621,15865150.23,2640,202007,67.38038938
275,ראש פינה,מועצה מקומית,0026,צפון,221,1,12,359,18,60,283,26,372,423,20,18,1,314,423,48140.12503,16814395.8,26,202007,13.14349933
276,ראשון לציון,עירייה,8300,מרכז,7951,32,221,10194,1069,1315,7867,1102,10447,14799,1294,428,326,10835,14799,52256.33637,61914250.29,8300,202007,128.4195474
277,רג'ר,מועצה מקומית,4501,צפון,4,0,0,7,0,1,6,0,7,6,0,0,0,5,6,6174.986519,2392491.791,4501,202007,1.671897063
278,רהט,עירייה,1161,דרום,413,7,46,498,171,189,330,27,551,632,3,28,16,404,632,30036.99499,33491522.84,1161,202007,12.33147869
279,רחובות,עירייה,8400,מרכז,3130,11,69,3983,524,657,2876,463,4063,5741,462,107,227,4179,5741,31741.74448,23757669.08,8400,202007,131.7469315
280,ריינה,מועצה מקומית,0542,צפון,374,2,15,657,58,185,465,20,674,686,6,21,4,549,686,17642.92426,10846368.04,542,202007,34.48158854
281,רכסים,מועצה מקומית,0922,חיפה,90,0,7,126,11,39,84,9,133,160,1,6,9,106,160,11420.42747,3311682.267,922,202007,27.17652019
282,רמלה,עירייה,8500,מרכז,2329,9,66,3218,339,575,2379,258,3293,4326,212,161,73,3113,4326,20384.2379,11992519.61,8500,202007,194.2043937
283,רמת גן,עירייה,8600,תל אביב,5088,16,160,5810,716,523,4516,735,5986,9081,1471,214,363,5379,9081,32624.66126,16394950.95,8600,202007,310.3394462
284,רמת השרון,עירייה,2650,תל אביב,1626,5,59,1978,132,173,1625,211,2042,3116,350,107,40,2199,3116,28611.75645,16642541.27,2650,202007,97.70142514
285,רמת ישי,מועצה מקומית,0122,צפון,121,0,0,160,7,20,132,7,160,227,9,12,2,165,227,8191.017245,2332273.052,122,202007,51.88071779
286,רמת נגב,מועצה אזורית,5548,דרום,284,14,50,492,7,76,441,33,556,509,24,25,5,358,509,481513.7362,4096603672,5548,202007,0.06932572
287,רעננה,עירייה,8700,מרכז,1543,8,32,1914,203,258,1393,260,1954,2900,259,66,104,2053,2900,20459.46638,14863542.03,8700,202007,103.8110564
288,שבלי - אום אל רנם,מועצה מקומית,0913,צפון,60,2,9,68,6,20,53,6,79,107,1,3,1,75,107,14556.58758,2886715.162,913,202007,20.78487022
289,שגב שלום,מועצה מקומית,1286,דרום,63,2,11,67,31,23,54,3,80,97,3,5,0,60,97,15841.43198,13524687.59,1286,202007,4.658148263
290,שדות דן,מועצה אזורית,5540,מרכז,899,8,38,1207,36,108,1041,91,1253,1805,135,64,18,1322,1805,38352.79347,31823159.57,5540,202007,28.2498662
291,שדות נגב,מועצה אזורית,5539,דרום,298,0,16,503,13,84,396,33,519,549,7,20,4,417,549,98800.92691,114422083.9,5539,202007,2.604392349
292,שדרות,עירייה,1031,דרום,460,3,13,615,93,121,442,59,631,789,23,32,28,533,789,11382.01283,6307248.003,1031,202007,72.93196649
293,שהם,מועצה מקומית,1304,מרכז,275,3,4,344,29,35,283,22,351,472,42,28,7,320,472,18495.12274,7160237.373,1304,202007,38.40654795
294,שלומי,מועצה מקומית,0812,צפון,92,1,4,134,13,29,101,9,139,151,9,5,5,102,151,14919.11076,5854484.595,812,202007,15.71444907
295,שעב,מועצה מקומית,0538,צפון,175,0,9,346,19,90,254,9,355,286,3,4,2,198,286,17399.46605,5383520.272,538,202007,32.50661113
296,שער הנגב,מועצה אזורית,5537,דרום,343,6,28,536,12,85,426,47,570,603,11,36,5,440,603,136538.6445,180508990.9,5537,202007,1.900182358
297,שפיר,מועצה אזורית,5534,דרום,413,13,28,678,19,87,566,56,719,763,20,48,3,543,763,98316.6876,81669022.66,5534,202007,5.056996969
298,שפרעם,עירייה,8800,צפון,1363,6,44,2354,132,527,1753,104,2404,2524,37,82,23,1960,2524,29780.40414,19581670.71,8800,202007,69.60590952
299,תל אביב - יפו,עירייה,5000,תל אביב,23257,83,937,26216,2976,2131,21160,2861,27236,40964,7624,839,2580,20912,40964,51519.40824,57177985.89,5000,202007,406.7474508
300,תל מונד,מועצה מקומית,0154,מרכז,193,0,6,251,18,44,184,23,257,362,33,7,6,258,362,23320.09459,7126871.195,154,202007,27.08060728
301,תל שבע,מועצה מקומית,1054,דרום,78,4,8,98,29,44,65,1,110,119,1,1,3,83,119,15352.44504,9421076.508,1054,202007,8.279308626
302,תמר,מועצה אזורית,5551,דרום,217,27,49,309,11,45,300,34,385,336,30,45,0,186,336,284346.1997,1570722394,5551,202007,0.138152993
303,יהודה ושומרון,שטחי יהודה ושומרון, , ,6488,169,565,10708,731,2269,8325,589,11442,11630,493,423,125,7508,11630,448900.8412,5838730825,9999,202007,1.111200395
