מספר זוגות שהתגרשו לפי מקום מגורים של הזוג,,,,,,,,,,,
מקום מגורים של הזוג,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
בית הלל,,1,1,,,2,2,1,2,3,3
בית העמק,,,1,2,1,1,,,,1,1
בית הערבה,,,,,1,,,,,,1
בית השיטה,,,,,1,5,9,1,2,6,1
בית זיד,,,,,,,1,,,,
בית זית,2,8,4,4,3,,4,2,1,6,3
בית זרע,,,,,4,1,2,,1,,2
בית חורון,,,2,1,3,2,2,1,1,3,3
בית חירות,,1,,,,,2,2,,1,2
בית חלקיה,2,1,1,,,,1,,2,,
בית חנן,,,1,1,2,,1,1,2,3,1
בית חנניה,1,1,,,,1,1,1,1,1,
בית חשמונאי,2,2,2,3,1,6,2,2,5,4,7
בית יהושע,,3,2,2,4,1,1,2,,2,
בית יוסף,,,,,2,1,,1,,,1
בית ינאי,,,,1,1,3,1,,2,2,
בית יצחק-שער חפר,,1,2,4,3,8,6,2,2,4,6
בית לחם הגלילית,,2,1,1,,1,2,4,2,,1
בית מאיר,,1,,,2,,4,1,6,1,
בית נחמיה,3,,3,2,3,1,4,1,4,3,5
בית ניר,,,1,,,,1,1,1,1,
בית נקופה,1,5,3,1,,2,2,5,1,,4
בית עובד,3,,1,,,,,,2,,1
בית עוזיאל,,,1,2,2,3,1,1,2,1,3
בית עזרא,1,1,2,3,4,,4,1,,3,3
בית עריף,5,4,2,4,4,4,1,1,7,3,3
בית קמה,,,,,2,,,2,1,,1
בית קשת,,1,1,,1,1,1,,2,,
בית רבן,,,,,1,,,,2,,
בית רימון,,,1,1,,,,,,1,1
בית שאן,27,36,39,36,49,51,49,48,46,48,45
בית שמש,76,105,121,120,108,99,147,125,144,122,123
בית שערים,,,2,2,1,1,,,4,1,
בית שקמה,1,,1,6,2,2,,4,3,1,
ביתן אהרן,,,,,,,,2,2,,
ביתר עילית,18,20,21,26,38,38,56,51,51,60,49
בלפוריה,4,1,2,,1,3,,,,1,
בן זכאי,1,1,1,2,,2,1,3,4,2,3
בן עמי,1,1,1,4,5,4,,1,4,1,2
בן שמן (כפר נוער),,,1,,,,,1,,,
בן שמן (מושב),,,3,,,3,5,,2,5,4
בני ברק,137,173,236,213,235,242,227,226,241,215,189
בני דרום,1,,,,,,,,,,
בני דרור,1,2,1,1,3,2,3,2,1,1,2
בני יהודה,1,,2,5,3,7,3,5,3,3,4
בני עטרות,,1,4,3,2,,5,2,2,1,3
"בני עי""ש",1,2,1,9,9,12,12,7,11,14,13
בני ציון,1,1,2,,4,3,2,2,5,4,1
בני ראם,,1,1,2,1,1,3,2,1,,1
בניה,,,4,1,,3,1,1,2,2,4
בנימינה-גבעת עדה,2,1,6,2,3,7,32,22,23,26,32
בצרה,1,,4,3,2,2,3,2,2,2,
בצת,,,1,,,,,1,1,,1
בקוע,,4,1,3,3,1,4,1,1,2,
בקעות,,,,,,,,4,,1,1
בר גיורא,,1,,,2,1,1,3,1,3,1
בר יוחאי,1,,1,2,4,,1,3,1,3,3
ברור חיל,1,,1,1,2,4,,2,2,1,2
ברוש,,1,4,1,1,1,3,,1,2,1
ברכה,,,1,,,1,,,1,1,2
ברכיה,,,3,,2,2,1,5,2,2,2
ברעם,1,,1,,1,,1,1,3,,2
ברק,1,,3,1,,1,1,4,2,2,1
ברקאי,,,,1,,,2,,1,,
ברקן,5,8,10,6,5,4,,7,6,3,8
ברקת,1,3,3,5,3,1,1,5,3,2,3
בת הדר,,,,3,,,,1,2,,4
בת חן,,,,,,1,,,,,2
בת חפר,9,8,17,9,16,16,19,16,18,10,8
בת ים,200,223,292,293,308,321,282,298,285,276,215
בת עין,,,,,2,1,2,1,4,2,5
בת שלמה,,1,1,2,1,,,1,1,,1
גאולי תימן,,,,,,,,,,,2
גאולים,1,2,7,5,1,4,2,7,2,3,3
גאליה,4,,3,3,5,2,2,,3,3,2
גבולות,,,,,,,,,,,
גבים,1,2,,,,,,1,2,1,
גבע,,,,1,2,,6,2,1,,
גבע בנימין,4,12,8,6,10,7,15,16,14,20,14
גבע כרמל,,,1,2,2,4,3,4,2,1,1
גבעולים,,,1,2,2,,,2,,,1
גבעון החדשה,2,3,1,5,8,3,2,5,1,4,3
גבעות בר,,,,,,,,,1,1,
גבעת אבני,3,4,2,3,1,5,3,4,4,4,5
גבעת אלה,,2,4,3,2,4,2,2,4,3,1
גבעת ברנר,4,3,4,3,1,2,3,3,3,5,4
גבעת השלושה,2,,,,1,,2,4,3,3,2
גבעת זאב,16,29,35,23,23,29,20,37,34,32,45
"גבעת ח""ן",1,,1,,,,,,,,1
גבעת חיים (איחוד),,1,,1,2,,1,1,2,,1
גבעת חיים (מאוחד),,1,3,2,3,,2,,1,,1
גבעת יואב,1,,3,1,1,,3,6,,1,1
גבעת יערים,,1,,5,4,1,4,1,2,3,2
גבעת ישעיהו,,2,2,,3,3,3,,1,1,
"גבעת כ""ח",1,,,4,2,,2,2,4,3,4
"גבעת ניל""י",1,,,,4,,,,,2,
גבעת עדה,,1,,,3,1,,,1,,1
גבעת עוז,,,,,,1,,1,,2,
גבעת שמואל,21,33,28,50,34,45,49,54,40,57,36
גבעת שמש,,,,,,,,,,,1
גבעת שפירא,,1,1,,,,1,2,,,1
גבעתי,,,,2,2,1,3,2,1,3,1
גבעתיים,80,102,122,118,142,99,108,125,131,97,80
גברעם,,2,,1,1,,2,,,2,2
גבת,1,,3,2,2,2,1,4,1,1,4
גדות,,2,,1,,,,,,,
גדיש,,,1,1,,1,,,3,,
גדעונה,2,2,1,,,,,,2,2,1
גדרה,35,43,50,58,42,49,42,57,60,59,34
גונן,,,,2,2,,,,2,,2
גורן,,,1,,1,1,,2,1,,
גורנות הגליל,,,,,,,,,1,,
גזית,,1,,,,1,,,,2,1
גזר,1,,,,,1,1,1,,,
גיאה,,1,1,1,3,1,2,2,2,2,
גיבתון,,,,,,,,,,1,
גיזו,,,,,,,1,,,,
גילון,1,2,1,1,4,2,2,1,6,2,5
גילת,4,,4,,,1,2,1,2,,3
גינוסר,,,1,,,,1,1,2,,
גיניגר,,,,,,1,,1,1,2,
גינתון,1,,1,3,4,1,9,1,3,3,1
גיתה,,,,,1,1,1,,,,
גיתית,1,,,,,,,1,,1,
גלאון,,,,2,,2,,1,,1,
גלגל,,,,3,2,,,2,,,1
גליל ים,,,1,,1,1,2,1,,,1
גלעד (אבן יצחק),,,,,,,3,,,2,
גמזו,,1,1,1,1,3,1,,2,,1
גן הדרום,,,1,,2,2,,,3,,1
גן השומרון,,,3,3,2,,1,1,1,,2
גן חיים,,,1,1,1,1,6,1,1,1,1
גן יאשיה,,1,,,2,1,,1,1,,1
גן יבנה,22,35,29,42,39,47,51,50,45,45,52
גן נר,3,4,6,10,3,5,4,5,5,2,5
גן שורק,,,1,2,,,,,1,,
גן שלמה,,,,4,1,1,1,,1,,
גן שמואל,1,2,2,3,1,2,,,1,2,3
גנות,,,2,1,,2,2,,2,,3
גנות הדר,1,1,2,1,,1,3,1,2,4,
גני הדר,,,,,,3,,,,1,
גני יוחנן,2,,3,2,2,2,2,1,,3,3
גני עם,1,,,,,,,,,1,
גני תקווה,4,6,5,2,13,25,31,31,31,33,34
געש,1,,1,,1,1,1,4,1,,
