OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
712,639,כפר סבא,מגורים,6454,525582,מגורים,1,0,2,30,19,9,13,10,32,35,1,0,1,28,35,3063.395621,525581.8772,25,47.56632807,6900
713,1265,ירושלים,מגורים,2982,252361,מגורים,1,1,0,1,1,0,1,1,2,8,0,0,0,7,8,3444.379639,252361.1934,2,7.925148765,3000
714,216,רמת גן,תיירות ונופש,0,1541312,פנאי/טבע/ספורט,3,0,6,53,1,4,49,6,59,83,18,1,1,52,83,5922.47714,1541311.964,40,25.95191689,8600
715,1907,מגדל העמק,מגורים,5358,1593940,מגורים,1,0,0,13,3,3,10,0,13,18,2,0,0,16,18,6636.528489,1593939.887,8,5.019009854,874
716,858,טייבה,מגורים,4313,293875,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2854.807334,293874.7458,0,0,2730
717,2230,"אל -עריאן 23% מבסמ""ה",מגורים,2444,3388037,מגורים,1,0,0,4,0,1,3,0,4,2,0,0,0,1,2,9133.163272,3388037.154,2,0.590312299,
718,1500,חלחול,לא ידוע,0,31951887,עתידי/לא ידוע,5,1,2,76,0,12,64,2,79,35,0,1,0,19,35,23620.25193,31951886.53,15,0.469455848,
719,451,פתח תקווה,מגורים,13814,724533,מגורים,1,0,3,12,12,8,5,1,15,14,1,1,1,9,14,5148.573111,724532.8283,11,15.18219682,7900
720,1118,ירושלים,מוסדות ציבור,0,236477,מוסדי/ציבורי,2,0,3,12,13,5,4,2,15,18,2,0,0,14,18,2470.35658,236477.1845,14,59.20232867,3000
721,69,תל אביב - יפו,מגורים,5044,558338,מגורים,1,0,17,74,14,1,73,16,91,139,27,3,9,71,139,2915.214169,558337.8212,74,132.5362481,5000
