OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
1,544,ראשון לציון,מגורים,9948,852978,מגורים,1,0,7,65,28,13,42,16,72,88,17,2,3,58,88,3765.786332,852977.6304,56,65.65236649,8300
2,2172,טבריה,מגורים,6378,1475818,מגורים,1,0,1,24,1,8,16,0,25,26,3,0,0,19,26,6981.506433,1475817.504,12,8.131086648,6700
3,1186,ירושלים,מגורים,12277,346241,מגורים,1,0,2,15,9,10,4,3,17,22,1,0,1,12,22,3958.16145,346241.1813,14,40.43424283,3000
4,137,הרצליה,מגורים,5341,499512,מגורים,1,0,0,15,3,2,11,2,15,20,2,0,0,14,20,3065.801625,499511.9653,11,22.0214945,6400
5,1828,קרית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,3,0,0,12,0,4,8,0,12,8,0,0,0,7,8,3692.333816,508601.2067,2,3.932354021,6800
6,779,אשדוד,מגורים,4250,339317,מגורים,1,0,0,73,7,11,50,11,73,66,4,3,0,53,66,2799.189086,339317.0836,35,103.148358,70
7,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,3,0,0,6,0,1,5,0,6,2,0,0,0,2,2,4962.864616,681282.3769,1,1.467820149,9000
8,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,1,1,10,78,2,13,67,9,89,72,2,1,5,54,72,34926.8309,28874993.83,35,1.212121471,
9,1039,תל אביב - יפו,מגורים,1737,230938,מגורים,1,1,9,101,6,14,89,7,111,161,40,5,3,94,161,1966.35904,230938.1757,77,333.4225697,5000
10,246,בני ברק,מגורים,19257,435224,מגורים,1,0,9,41,35,22,15,12,50,54,8,2,4,20,54,2970.819358,435223.6548,43,98.7997769,6100
11,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,5,1,2,9,0,0,12,0,12,9,0,1,0,5,9,40071.50737,58946756.63,4,0.067857847,
12,872,תל מונד,מגורים,6431,2870532,מגורים,1,0,3,30,5,7,21,5,33,40,5,0,1,28,40,12031.70727,2870532.231,23,8.012451403,154
13,2244,חריש,מגורים,3785,968525,מגורים,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,4150.275826,968525.4891,1,1.032497349,1247
14,1514,דאר סלאח,לא ידוע,0,10193417,עתידי/לא ידוע,5,0,1,6,0,4,2,1,7,3,0,0,0,2,3,15875.39394,10193417.1,2,0.196205059,
15,465,נצר סרני,מגורים,823,2787017,מגורים,1,0,0,1,0,0,1,0,1,2,0,1,0,1,2,9408.084428,2787016.769,1,0.358806596,
16,1132,ירושלים,מגורים,5935,350784,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081.988671,350783.804,0,0,3000
17,83,תל אביב - יפו,מגורים,1997,200117,מגורים,1,0,9,52,12,21,35,3,61,78,24,0,6,34,78,1981.948464,200116.8325,44,219.8715593,5000
18,1774,טירת כרמל,תעשיה,0,394531,תעשיה/מסחר/מתקנים,4,0,0,5,4,0,5,0,5,6,0,0,0,5,6,2719.150739,394531.4559,5,12.67326071,2100
19,2479,אשקלון,מגורים,11875,4025249,מגורים,1,0,1,18,2,3,16,0,19,16,2,0,0,13,16,8992.23774,4025249.403,9,2.235886301,7100
20,725,שוהם,מגורים,5479,929400,מגורים,1,0,0,2,2,1,1,0,2,2,0,0,0,2,2,4615.326809,929399.5328,2,2.151927055,1304
21,2081,כרמיאל,מגורים,5626,924397,מגורים,1,0,1,20,5,11,8,1,21,23,1,0,1,18,23,4838.365818,924396.69,14,15.14501312,1139
22,1367,א-טירה מזרח,לא ידוע,0,2207487,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7693.915475,2207486.585,0,0,
23,318,חולון,מגורים,2436,284410,מגורים,1,1,1,16,4,3,7,8,18,27,8,0,1,15,27,2601.367979,284410.0501,15,52.74075228,6600
24,1993,עברון מזרעה בן עמי,מגורים,5454,7953196,מגורים,1,1,2,101,2,19,69,16,104,84,3,1,0,76,84,14509.36608,7953195.953,34,4.275010977,
25,944,פלמחים,מגורים,658,6105517,מגורים,1,4,2,41,6,14,31,2,47,34,2,2,0,27,34,13991.89414,6105516.727,18,2.948153417,
26,1611,סענג'יל,לא ידוע,0,64309548,עתידי/לא ידוע,5,2,10,45,0,15,41,1,57,35,1,0,0,24,35,42282.092,64309548.24,15,0.233246857,
27,2316,כחל,מגורים,425,20117263,מגורים,1,0,2,86,0,24,60,3,88,42,2,1,0,29,42,34279.99011,20117263.39,19,0.944462456,
28,562,ראשון לציון,מגורים,4407,528866,מגורים,1,0,1,14,5,6,9,0,15,21,0,0,1,19,21,3525.104441,528865.8729,9,17.01754729,8300
29,1204,ירושלים,שטח פתוח,0,1440959,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5305.202652,1440958.723,0,0,3000
30,2560,יישובים בדואים לא מוכרים,שטח פתוח,0,65835066,פנאי/טבע/ספורט,3,6,4,144,2,28,116,10,154,111,1,6,0,74,111,63537.39705,65835065.7,53,0.805042107,
31,155,כפר שמריהו,שדה תעופה,0,1168040,תעשיה/מסחר/מתקנים,4,0,2,15,0,2,15,0,17,25,4,0,0,20,25,5227.192982,1168040.137,12,10.27361956,267
32,1846,יקנעם עילית,תעשיה,0,2213735,תעשיה/מסחר/מתקנים,4,0,14,146,1,39,117,4,160,123,1,10,0,90,123,14635.27157,2213735.397,55,24.84488439,240
33,797,גדרה,מגורים,7412,1054363,מגורים,1,0,0,9,2,4,4,0,9,15,3,0,1,11,15,4332.271373,1054362.919,7,6.639080218,2550
34,2409,באר שבע,מגורים,3733,347151,מגורים,1,2,0,28,3,6,20,4,30,29,2,1,0,24,29,2395.975875,347150.974,14,40.32827516,9000
35,1439,שמורת טבע נחל דולב,שמורת טבע,0,1094522,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220.200875,1094521.512,0,0,
36,390,רעננה,שטח לדרכים,0,495014,עתידי/לא ידוע,5,1,1,3,0,0,3,2,5,9,0,1,0,6,9,3402.599563,495013.739,4,8.080583799,8700
37,1041,קלנסווה,מגורים,10482,6025328,מגורים,1,2,3,21,4,8,15,3,26,22,1,1,0,16,22,11417.27884,6025328.018,14,2.323524953,638
38,248,בני ברק,תעשיה+מגורים,13994,432759,מגורים,1,1,8,30,25,18,13,8,39,45,7,3,1,24,45,3605.798998,432758.6082,34,78.56573932,6100
39,1683,חיפה,קריית הממשלה,0,164029,מוסדי/ציבורי,2,1,1,29,6,4,24,3,31,33,2,2,0,20,33,1855.790939,164029.2201,20,121.9294952,4000
40,890,עדנים,מגורים,519,1528305,מגורים,1,0,1,20,1,1,19,1,21,22,3,0,0,15,22,5651.562028,1528304.694,12,7.851837432,
41,2262,פרדס חנה אזורים סטטיסטיים 78 ונווה אבות,מגורים+מוסדי,8946,8640781,מגורים,1,2,7,98,12,18,74,15,107,118,7,2,2,92,118,14737.71357,8640781.41,61,7.059546713,
42,1532,בית ג'אלא,לא ידוע,0,1022447,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877.144603,1022446.635,0,0,
43,483,לוד,מגורים,6207,837568,מגורים,1,2,3,21,6,9,16,1,26,38,5,1,5,19,38,4042.094448,837568.212,21,25.07258478,7000
44,1150,ירושלים,מגורים+ מכללה אקדמאית+ בית חולים,4422,317382,מגורים,1,1,5,51,22,13,34,7,57,62,13,0,7,26,62,2840.741509,317382.4149,42,132.3324735,3000
45,101,תל אביב - יפו,תעשיה+ מגורים,970,188991,מגורים,1,0,5,93,23,5,72,4,98,150,49,3,9,68,150,1819.914613,188991.4506,77,407.4258373,5000
46,1776,חיפה,מגורים,5656,541689,מגורים,1,0,3,74,1,16,48,13,77,79,2,1,0,69,79,3922.042743,541689.326,37,68.30483493,4000
47,2481,אשקלון,מגורים,8979,764276,מגורים,1,1,2,71,9,19,42,13,74,73,2,0,1,62,73,3671.090336,764276.0533,40,52.33711017,7100
48,743,מודיעין-מכבים-רעות*,מגורים,5033,560801,מגורים,1,0,0,20,1,7,12,1,20,24,0,0,0,24,24,4729.756742,560800.7911,11,19.61480828,1200
49,2099,סח'נין,מגורים,5488,4606249,מגורים,1,0,0,10,0,3,7,0,10,3,0,0,0,3,3,10447.18627,4606249.345,2,0.434192735,7500
50,1369,ביתוניא מזרח,לא ידוע,0,1571421,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472.60892,1571420.861,0,0,
51,320,מקווה ישראל,מוסדי,386,1619017,מוסדי/ציבורי,2,0,0,19,2,3,14,2,19,27,0,0,0,24,27,5356.582474,1619017.326,13,8.029562,
52,2011,הילה,מגורים,578,12255899,מגורים,1,0,3,19,1,6,16,0,22,12,1,0,0,7,12,23591.74532,12255899.14,8,0.652746886,
53,962,מתקן מחיזור חירייה,מתקן מיחזור,0,3015576,תעשיה/מסחר/מתקנים,4,1,13,90,2,15,74,13,104,128,27,4,1,79,128,9554.970234,3015575.718,59,19.56508657,
54,1629,ראס אל-ג'ורא,לא ידוע,0,1054590,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4934.231981,1054589.574,0,0,
55,2334,גן שמואל תלמי אלעזר,מגורים,1825,13078260,מגורים,1,0,1,22,0,8,15,0,23,23,1,0,0,19,23,29594.20992,13078259.69,10,0.764627729,
56,580,רחובות,שטח פתוח,0,1481664,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656.022897,1481664.09,0,0,8400
57,1222,ירושלים,מיועד למגורים,0,369442,עתידי/לא ידוע,5,0,1,23,0,8,14,2,24,20,2,0,0,13,20,2666.434947,369441.9982,11,29.77463324,3000
58,2578,תעשיון מבצע*,תעשיה,0,3310292,תעשיה/מסחר/מתקנים,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684.484622,3310291.989,0,0,
59,173,רמת השרון,תעשיה ומסחר,0,294968,תעשיה/מסחר/מתקנים,4,0,3,7,4,1,7,2,10,11,2,1,0,7,11,3214.968539,294967.9141,7,23.73139472,2650
60,1848,דאלית אל-כרמל,מגורים,4546,3109752,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10684.35759,3109752.462,0,0,
61,815,קרית עקרון,מגורים,3451,803691,מגורים,1,1,1,3,3,2,2,1,5,9,1,0,0,6,9,4254.351734,803690.8548,5,6.221297617,469
62,2427,באר שבע,מגורים,4503,425791,מגורים,1,0,0,14,1,2,9,2,14,16,0,0,0,16,16,2843.367498,425790.5549,9,21.13715275,9000
63,1441,דייר ראפאת גבעת שמש צרעה ישעי,מגורים+מוסדי,1836,20414042,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800.7346,20414041.62,0,0,
64,392,רעננה,מגורים,3868,242682,מגורים,1,0,0,12,4,1,9,2,12,18,4,1,0,9,18,2093.824149,242682.158,11,45.32677677,8700
65,1059,ירושלים,מגורים,5549,380336,מגורים,1,0,1,24,5,6,16,3,25,30,3,0,0,21,30,3584.469577,380335.6154,18,47.32662226,3000
66,10,תל אביב - יפו,מגורים,6204,697440,מגורים,1,1,5,21,4,3,18,6,27,34,4,0,0,23,34,4784.687692,697439.7328,19,27.24249725,5000
67,1701,חיפה,מגורים,5033,289178,מגורים,1,0,1,5,4,1,2,3,6,10,0,0,0,10,10,2390.180071,289178.3294,6,20.74844271,4000
68,652,כפר סבא,תעשיה,0,927334,תעשיה/מסחר/מתקנים,4,0,7,61,13,11,48,9,68,79,10,0,2,55,79,5775.978789,927333.9807,45,48.52620624,6900
69,2264,בנימינה-גבעת עדה*,מגורים,4379,12007929,מגורים,1,0,8,27,1,9,24,2,35,33,0,0,2,28,33,19375.65286,12007928.79,19,1.582287865,
70,1294,מעלה אדומים,מגורים,2416,373034,מגורים,1,0,0,4,0,0,4,0,4,5,1,0,0,4,5,2817.95393,373033.8604,2,5.36144359,
71,501,נס ציונה,מגורים,6295,3069094,מגורים,1,0,0,4,0,1,2,1,4,6,1,0,1,4,6,7503.073722,3069094.045,3,0.977487153,7200
72,1920,נצרת,מגורים,5008,388099,מגורים,1,0,1,17,1,3,13,2,18,14,2,0,0,11,14,2918.500638,388098.5899,7,18.03665404,7300
73,119,תל אביב - יפו,מגורים,5121,414942,מגורים,1,0,0,6,3,2,3,1,6,9,3,0,0,4,9,4326.211425,414941.7077,6,14.45986241,5000
74,1538,ענתא,לא ידוע,0,3231072,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7311.864922,3231072.162,0,0,
75,2499,אשקלון,מגורים,5046,1022388,מגורים,1,4,8,97,8,28,69,11,109,109,5,3,2,71,109,4197.886894,1022387.748,57,55.75184184,7100
76,745,מודיעין-מכבים-רעות*,מגורים,9117,944055,מגורים,1,0,1,5,1,2,3,1,6,5,0,0,0,4,5,5112.204828,944054.5775,3,3.177782378,1200
77,2117,פרוד כפר שמאי שפר אמירים כפר חנניה,מגורים,3092,43622144,מגורים,1,8,23,236,1,61,196,10,267,164,7,7,0,127,164,33663.67127,43622144.17,80,1.833930943,
78,1387,בית שמש,מגורים,2406,205362,מגורים,1,0,2,2,2,2,2,0,4,4,0,1,0,3,4,2378.404974,205361.5562,3,14.6083817,2610
79,338,בת ים,בית עלמין,0,895119,מוסדי/ציבורי,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4868.99746,895119.1419,0,0,6200
80,2029,ירכא,מגורים,5916,2486398,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600.339663,2486398.481,0,0,502
81,980,קדימה-צורן,שטח פתוח,0,1175530,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5132.94616,1175530.087,0,0,
82,1647,תפוח,לא ידוע,0,7435054,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10705.71574,7435053.82,0,0,
83,2336,חיפה,תעשיה+ מכללה,0,2917108,תעשיה/מסחר/מתקנים,4,0,5,124,5,16,101,11,129,137,6,4,3,103,137,7713.121115,2917108.045,69,23.65356337,4000
84,598,רחובות,מגורים,4335,783535,מגורים,1,0,2,10,3,4,5,3,12,18,1,0,1,12,18,4073.654427,783534.9803,11,14.03893926,8400
85,1224,ירושלים,מגורים,2858,251461,מגורים,1,0,0,7,0,0,7,0,7,11,1,0,0,9,11,2631.835487,251461.3242,6,23.86052813,3000
86,191,רמת גן,מגורים,6619,248393,מגורים,1,0,3,32,9,4,23,8,35,46,11,0,2,24,46,2169.748371,248393.004,26,104.6728353,8600
87,1866,זכרון יעקב,מגורים,6388,3802911,מגורים,1,2,4,46,2,7,41,3,52,57,3,2,2,46,57,15738.77249,3802911.063,27,7.099824201,9300
88,817,קרית עקרון,תעשיה,0,625455,תעשיה/מסחר/מתקנים,4,0,2,39,0,6,29,6,41,43,2,5,0,30,43,4751.787555,625455.311,21,33.5755403,469
89,2189,רחוב תל תאומים רוויה שדי תרומות,מגורים,1836,8500433,מגורים,1,0,1,2,0,0,2,1,3,4,0,1,0,3,4,14022.41969,8500432.556,2,0.235282144,
90,1459,ביתר עילית,מגורים,12637,554439,מגורים,1,0,0,5,0,1,4,0,5,4,0,0,0,2,4,3927.531033,554439.0278,2,3.60724967,
91,410,פתח תקווה,תעשיה,0,1787895,תעשיה/מסחר/מתקנים,4,0,0,20,0,2,17,1,20,23,1,1,0,19,23,5884.78571,1787895.098,10,5.593169313,7900
92,1077,ירושלים,מגורים,4667,276936,מגורים,1,0,0,3,0,1,2,0,3,2,0,0,0,2,2,2161.806985,276935.9546,1,3.610943193,3000
93,28,תל אביב - יפו,מגורים,5941,575493,מגורים,1,0,3,23,7,3,19,4,26,37,8,0,0,23,37,3687.021812,575493.2302,22,38.22807784,5000
94,1719,חיפה,מגורים,6207,1071113,מגורים,1,0,0,11,4,2,5,3,11,14,1,0,0,11,14,5122.911572,1071113.053,9,8.402474392,4000
95,670,נתניה,מגורים,8356,654444,מגורים,1,2,8,48,43,2,27,26,58,65,2,1,2,41,65,5107.346589,654444.3906,52,79.45671282,7400
96,2282,חדרה,מגורים,13322,7127143,מגורים,1,0,7,50,6,18,35,3,57,65,8,0,1,43,65,13253.42782,7127143.467,38,5.33172935,6500
97,1296,מחנה ישי מגורים,לא ידוע,0,748323,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426.006031,748323.2329,0,0,
98,263,גבעתיים,מגורים,3765,275529,מגורים,1,0,5,17,6,4,15,3,22,26,8,1,2,13,26,2654.794112,275529.1235,16,58.07008637,6300
99,1938,נצרת,מגורים,3502,332086,מגורים,1,0,0,7,0,4,3,0,7,4,0,0,0,2,4,5008.947357,332085.6218,2,6.022543191,7300
100,121,תל אביב - יפו,מגורים,5115,238191,מגורים,1,0,1,8,4,4,4,1,9,9,2,0,1,3,9,2129.891161,238191.1236,7,29.38816482,5000
101,1556,סמוך למשמר איילון,שטח פתוח,0,8596439,פנאי/טבע/ספורט,3,2,3,23,1,3,19,6,28,30,2,5,1,20,30,13280.57719,8596438.538,15,1.744908654,
102,2517,דבירה,מגורים,999,8571416,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13619.68255,8571416.144,0,0,
103,763,אשדוד,מגורים,7010,350466,מגורים,1,1,0,20,8,9,10,2,21,24,1,0,0,19,24,3089.339453,350466.2346,15,42.80012886,70
104,2135,מנרה משגב עם מרגליות,מגורים,984,16312755,מגורים,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,29200.97247,16312755.19,1,0.061301723,
105,1405,בית שמש,שטח פתוח,0,625566,פנאי/טבע/ספורט,3,0,3,29,0,10,21,1,32,24,1,0,0,19,24,4329.554547,625566.3942,10,15.98551344,2610
106,356,הוד השרון,מגורים,4803,1078427,מגורים,1,0,1,7,0,1,7,0,8,12,2,0,0,9,12,5151.16739,1078427.352,5,4.636380919,9700
107,2047,פקיעין חדשה פקיעין (בוקייעה),מגורים,6362,7550837,מגורים,1,1,4,23,0,3,25,0,28,25,1,2,0,20,25,17775.69784,7550837.106,12,1.589227768,
108,998,רמת גן,מגורים,493,589850,מגורים,1,0,0,10,1,1,9,0,10,10,1,1,1,6,10,3377.127321,589850.4649,6,10.17206963,8600
109,1649,אריאל,מגורים,9040,2474450,מגורים,1,2,9,49,18,6,43,11,60,67,11,4,1,41,67,7106.526975,2474449.897,43,17.37759978,
110,2354,אופקים,מגורים,29022,10542599,מגורים,1,3,3,76,10,16,58,7,82,89,2,5,2,61,89,13919.85311,10542598.92,49,4.647810313,31
111,600,רחובות,תעשיה,0,358796,תעשיה/מסחר/מתקנים,4,0,0,13,0,0,10,3,13,17,3,2,0,11,17,3679.906906,358795.5392,9,25.0839239,8400
112,1242,ירושלים,מגורים,4387,296113,מגורים,1,1,4,30,4,9,20,6,35,36,3,0,0,28,36,3364.935956,296112.5401,19,64.16479354,3000
113,2614,שלווה במדבר,מוסדי,0,539187686,מוסדי/ציבורי,2,5,8,16,0,5,19,3,29,20,1,1,0,14,20,134889.445,539187686.5,9,0.016691776,
114,193,רמת גן,מגורים+ מכללה אקדמאית,4814,257200,מגורים,1,1,2,22,3,1,21,2,25,35,5,1,2,21,35,2722.16898,257200.4199,19,73.87235217,8600
115,1884,מועצה אזורית זבולון,שטח פתוח,0,2018528,פנאי/טבע/ספורט,3,1,0,5,1,1,5,0,6,9,1,1,0,7,9,7793.167461,2018528.01,5,2.477052572,
116,835,אביחיל,מגורים,1410,1429845,מגורים,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,5827.812775,1429845.235,1,0.699376391,
117,2207,עפולה,מגורים,8325,4566177,מגורים,1,1,5,70,16,20,51,5,76,69,4,1,2,59,69,11895.83541,4566177.423,42,9.198065715,7700
118,1477,מבשרת ציון,מגורים,2776,748866,מגורים,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,3553.110124,748865.6374,1,1.335353033,1015
119,428,פתח תקווה,מגורים,2308,342184,מגורים,1,0,0,8,4,1,4,3,8,10,1,0,0,9,10,2446.167058,342183.858,7,20.45683873,7900
120,1095,ירושלים,מגורים,9193,1023568,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4321.166794,1023568.052,0,0,3000
121,46,תל אביב - יפו,פנאי ונופש,193,615453,פנאי/טבע/ספורט,3,0,5,21,9,3,19,3,26,48,10,1,3,27,48,3539.080984,615452.8174,25,40.6204981,5000
122,1721,חיפה,מגורים,5627,963890,מגורים,1,0,1,3,1,0,3,1,4,9,1,0,0,7,9,4157.432768,963890.2358,4,4.149850109,4000
123,672,נתניה,מגורים,3546,244350,מגורים,1,0,0,12,2,4,6,1,12,20,3,0,0,16,20,2398.160226,244349.6352,10,40.9249639,7400
124,2300,עכו,מוסדות ציבור+ מכללה אקדמאית,0,961427,מוסדי/ציבורי,2,1,2,12,0,4,11,0,15,18,3,1,0,13,18,4308.159165,961427.2864,7,7.280841827,7600
125,1314,שורש שואבה בית מאיר,מגורים,2782,12711101,מגורים,1,1,9,111,0,32,81,6,121,93,5,5,0,67,93,20345.77884,12711101.25,39,3.068184198,
126,265,קרית אונו,מגורים,5785,675566,מגורים,1,1,0,6,0,0,5,2,7,14,1,0,0,9,14,3834.220491,675566.2687,6,8.881438103,2620
127,1956,שפרעם,מגורים,5704,985733,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5089.585551,985732.5941,0,0,8800
128,907,נחשונים,מגורים,399,4138845,מגורים,1,0,9,45,2,17,34,3,54,53,3,6,0,37,53,9667.553923,4138844.781,25,6.040332828,
129,1574,טולכרם,לא ידוע,0,29023578,עתידי/לא ידוע,5,0,0,6,0,1,2,3,6,6,0,0,0,5,6,24450.27487,29023578.45,3,0.103364236,
130,2535,שרשרת שיבולים מעגלים גבעולים מלילות,מגורים,3409,15543072,מגורים,1,0,1,11,0,2,9,1,12,9,0,2,0,5,9,20984.44221,15543072.07,5,0.321686728,
131,525,ראשון לציון,מגורים,9539,796860,מגורים,1,0,0,17,3,1,13,3,17,14,1,0,0,9,14,3663.298134,796859.6718,8,10.0394088,8300
132,2137,קרית שמונה,תעשיה,0,2755818,תעשיה/מסחר/מתקנים,4,0,1,26,0,11,16,0,27,16,0,1,0,12,16,8267.13629,2755818.395,7,2.540080295,2800
133,1167,ירושלים,מגורים,3705,253350,מגורים,1,0,1,1,2,0,2,0,2,2,0,0,0,2,2,2462.29397,253350.4309,2,7.894204061,3000
134,374,רעננה,מגורים,8211,507454,מגורים,1,1,1,44,17,12,20,13,46,58,8,2,3,37,58,2983.968714,507454.4316,37,72.91295078,8700
135,1793,שטח ללא שיפוט,שטח פתוח,0,678233,פנאי/טבע/ספורט,3,0,0,36,2,5,29,2,36,35,1,0,0,28,35,3777.349388,678233.4515,18,26.53953437,
136,1000,רמת גן,תעשיה ומסחר,0,222089,תעשיה/מסחר/מתקנים,4,0,3,35,0,3,31,4,38,56,7,3,0,31,56,1998.874408,222088.6232,24,108.0649682,8600
137,2372,באר שבע,שטח פתוח,0,5098859,פנאי/טבע/ספורט,3,0,0,5,0,0,5,0,5,6,1,0,0,5,6,12752.41559,5098859.224,3,0.588366901,9000
138,618,רמלה,מגורים,3339,359250,מגורים,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,2550.897822,359249.6301,1,2.783579763,8500
139,1260,רמת רחל,שטח פתוח,0,254532,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181.696121,254531.974,0,0,
140,2616,צופר פארן ספיר צוקים,מגורים,1647,785967807,מגורים,1,6,12,45,0,8,37,18,63,21,0,6,0,12,21,133931.1982,785967807.1,11,0.013995484,
141,211,רמת גן,מגורים,802,290613,מגורים,1,0,1,12,2,3,5,5,13,17,1,0,1,12,17,2699.138566,290612.7028,9,30.96905232,8600
142,1902,נהלל גיניגר שריד כפר ברוך גבת יפעת רמת דוד,מגורים,5646,73906781,מגורים,1,2,14,182,2,28,151,18,198,163,6,4,1,127,163,53201.04052,73906781.07,74,1.001261304,
143,853,גאולים ינוב תנובות,מגורים,2732,7960676,מגורים,1,1,1,33,0,4,28,3,35,31,2,0,1,23,31,16733.1251,7960675.586,17,2.135497147,
144,2209,עפולה,מגורים,5724,652818,מגורים,1,0,4,98,25,13,78,9,102,106,2,1,0,92,106,4026.546015,652818.3217,61,93.4410049,7700
145,1495,אפרת,מגורים,3363,2766608,מגורים,1,1,1,3,2,1,4,0,5,7,1,0,0,6,7,7330.379449,2766607.829,5,1.80726735,
146,446,פתח תקווה,מגורים,6096,748247,מגורים,1,2,11,72,16,18,53,13,85,85,12,3,5,54,85,4171.127865,748246.9124,50,66.82286177,7900
147,1097,ירושלים,בית עלמין,0,361443,מוסדי/ציבורי,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766.673134,361443.0136,0,0,3000
148,48,תל אביב - יפו,מגורים,6012,496542,מגורים,1,1,8,53,27,6,36,12,62,81,21,0,2,35,81,3366.050584,496541.6198,52,104.7243533,5000
149,1739,חיפה,מגורים,1717,299930,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299.101562,299930.2947,0,0,4000
150,2444,באר שבע,שטח פתוח,0,6920100,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11213.72503,6920099.67,0,0,9000
151,690,נתניה,מגורים,7324,1612146,מגורים,1,1,1,36,5,7,24,6,38,45,2,0,1,41,45,5171.446603,1612145.668,24,14.88699221,7400
152,2062,דייר אל-אסד,מגורים,6051,3495501,מגורים,1,1,1,41,1,12,31,0,43,20,1,0,1,18,20,10802.4512,3495501.301,14,4.005147987,
153,1332,בית אל,מגורים,6042,4944241,מגורים,1,0,2,0,2,1,0,1,2,2,0,0,0,1,2,9416.855591,4944241.31,2,0.404511001,
154,283,יהוד,מגורים,7940,592589,מגורים,1,0,4,38,13,5,30,6,42,49,8,2,0,33,49,4397.239853,592588.8042,28,47.25030207,
155,1974,קרית אתא,שטח פתוח,0,328386,פנאי/טבע/ספורט,3,0,2,6,0,1,3,4,8,6,0,0,0,5,6,3060.834499,328385.682,3,9.135599279,6800
156,925,רמלה,מגורים,8900,623034,מגורים,1,1,6,35,2,8,26,8,42,40,4,1,3,25,40,3700.227548,623034.1544,21,33.70601732,8500
157,1576,סילת א-דאהר,לא ידוע,0,41653420,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27779.82971,41653419.71,0,0,
158,2537,חצרים,מגורים,832,7561240,מגורים,1,1,2,3,0,0,4,2,6,7,1,1,0,4,7,14104.9991,7561240.115,4,0.529013752,
159,543,ראשון לציון,מגורים,16383,727958,מגורים,1,1,11,96,30,25,62,20,108,117,13,1,1,86,117,4831.802576,727957.7377,70,96.15942846,8300
160,2155,בוקעאתא,מגורים,6528,22741633,מגורים,1,1,4,28,0,4,27,2,33,22,0,0,1,19,22,23315.35278,22741632.67,14,0.615611034,4001
161,1169,ירושלים,מגורים,11374,407267,מגורים,1,0,4,21,15,7,14,2,25,38,3,2,1,21,38,2777.405248,407266.901,24,58.92941445,3000
162,376,רעננה,מגורים,3411,250400,מגורים,1,0,0,6,4,2,3,1,6,9,0,0,1,6,9,2051.503599,250399.8808,6,23.96167275,8700
